name,group
Abhishek Bachchan,actor
Aishwarya Rai Bachchan,actor
Ajitabh Bachchan,relative
Amitabh Bachchan,actor
Harivansh Rai Bachchan,other
Jaya Bachchan,actor
Naina Bachchan,relative
Teji Bachchan,relative
Aditya Bhattacharya,director
Abhishek Kapoor,director
Aditya Raj Kapoor,actor
Anil Kapoor,actor
Arjun Kapoor,actor
Babita Kapoor,actor
Boney Kapoor,producer
Ekta Kapoor,producer
Geeta Bali Kapoor,actor
Harshvardhan Kapoor,actor
Janhvi Kapoor,actor
Jayasudha Kapoor,actor
Jeetendra Kapoor,actor
Jennifer Kendal Kapoor,actor
Karan Kapoor,actor
Kareena Kapoor,actor
Karisma Kapoor,actor
Krishna Kapoor,relative
Kunal Kapoor,actor
Mahendra Kapoor,music
Neetu Singh Kapoor,actor
Nitin Kapoor,producer
Prithviraj Kapoor,actor
Raj Kapoor,actor
Rajiv Kapoor,actor
Ranbir Kapoor,actor
Randhir Kapoor,actor
Rhea Kapoor,producer
Rishi Kapoor,actor
Rohan Kapoor,actor
Sanjana Kapoor,actor
Sanjay Kapoor,actor
Sashi/Madhu Kapoor,relative
Shakti Kapoor,actor
Shammi Kapoor,actor
Shashi Kapoor,actor
Shobha Kapoor,producer
Shraddha Kapoor,actor
Siddhanth Kapoor,actor
Sonam Kapoor,actor
Sridevi Kapoor,actor
Tusshar Kapoor,actor
Saif Ali  Khan,actor
Shweta Bachchan Nanda,relative
Harivansh Rai Bachchan,other
Kanchan Desai,producer
Shashi/Madhu Kapoor,relative
Saif Ali Khan,actor
Rima Jain,relative
Ritu Kapoor Nanda,relative
Valmik Thapar,producer
Shivangi Kolhapure,music